RunID,ThermalCond,SourceTemp,AmbientTemp,BlockSize,MaxTemp,AvgTemp,CenterTemp,Efficiency (%),Coolant_Need,Coolant_Type,Material_Suggestion,Status
1,100,60,20,5,60,27.36785524,60,81.58036190000001,No,N/A,Aluminium or copper,NORMAL
2,100,60,20,10,60,30.66139604,60,73.3465099,No,N/A,Aluminium or copper,NORMAL
3,100,60,20,15,60,33.81994526,60,65.45013685,Yes,Water-based coolant,Aluminium or copper,COOLANT RECOMMENDED
4,100,60,25,5,60,31.4428347,60,81.59190085714286,No,N/A,Aluminium or copper,NORMAL
5,100,60,25,10,60,34.32619168,60,73.35373805714286,No,N/A,Aluminium or copper,NORMAL
6,100,60,25,15,60,37.09061612,60,65.4553825142857,Yes,Water-based coolant,Aluminium or copper,COOLANT RECOMMENDED
7,100,60,30,5,60,35.51779818,60,81.6073394,No,N/A,Aluminium or copper,NORMAL
8,100,60,30,10,60,37.9909982,60,73.36333933333333,No,N/A,Aluminium or copper,NORMAL
9,100,60,30,15,60,40.36126614,60,65.4624462,Yes,Water-based coolant,Aluminium or copper,COOLANT RECOMMENDED
10,100,70,20,5,70,29.21790211,70,81.56419578,No,N/A,Aluminium or copper,NORMAL
11,100,70,20,10,70,33.33172279,70,73.33655442,No,N/A,Aluminium or copper,NORMAL
12,100,70,20,15,70,37.27856139,70,65.44287722,Yes,Water-based coolant,Aluminium or copper,COOLANT RECOMMENDED
13,100,70,25,5,70,33.29289715,70,81.57133966666666,No,N/A,Aluminium or copper,NORMAL
14,100,70,25,10,70,36.99655555,70,73.34098766666668,No,N/A,Aluminium or copper,NORMAL
15,100,70,25,15,70,40.54926298,70,65.44608226666666,Yes,Water-based coolant,Aluminium or copper,COOLANT RECOMMENDED
16,100,70,30,5,70,37.36785524,70,81.58036190000001,No,N/A,Aluminium or copper,NORMAL
17,100,70,30,10,70,40.66139604,70,73.3465099,No,N/A,Aluminium or copper,NORMAL
18,100,70,30,15,70,43.81994526,70,65.45013685,Yes,Water-based coolant,Aluminium or copper,COOLANT RECOMMENDED
19,100,80,20,5,80,31.0679522,80,81.55341299999999,No,N/A,Aluminium or copper,DANGER: TEMP DIFFERENCE TOO HIGH
20,100,80,20,10,80,36.00202516,80,73.32995806666666,No,N/A,Aluminium or copper,DANGER: TEMP DIFFERENCE TOO HIGH
